ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1724,Aristidis Akratopoulos,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,NA
1724,Aristidis Akratopoulos,M,NA,NA,NA,Greece-3,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,NA
1725,"Konstantinos ""Kostas"" Akratopoulos",M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,NA
1725,"Konstantinos ""Kostas"" Akratopoulos",M,NA,NA,NA,Greece-3,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,NA
12929,John Mary Pius Boland,M,25,NA,NA,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,Gold
12929,John Mary Pius Boland,M,25,NA,NA,Great Britain/Germany,GBR,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,Gold
18785,Demetrius Emmanuel Casdagli,M,23,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,Silver
18785,Demetrius Emmanuel Casdagli,M,23,NA,NA,Greece-1,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,Silver
26984,J. Defert,M,NA,NA,NA,France,FRA,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,NA
35698,"Edwin Harold ""Teddy"" Flack",M,22,NA,NA,Australia,AUS,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,NA
35698,"Edwin Harold ""Teddy"" Flack",M,22,NA,NA,Australia/Great Britain,AUS,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,Bronze
36738,D. Frangopoulos,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,NA
91932,"Khios ""Konstantinos"" Paspatis",M,17,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,Bronze
91932,"Khios ""Konstantinos"" Paspatis",M,17,NA,NA,Greece-2,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,NA
94075,Dimitrios Stephen Petrokokkinos,M,17,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,NA
94075,Dimitrios Stephen Petrokokkinos,M,17,NA,NA,Greece-1,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,Silver
98539,Evangelos Rallis,M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,NA
98539,Evangelos Rallis,M,NA,NA,NA,Greece-2,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,NA
101352,George Stuart Robertson,M,23,NA,NA,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,NA
101352,George Stuart Robertson,M,23,NA,NA,Australia/Great Britain,GBR,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,Bronze
118532,Momcsill Tapavicza,M,23,NA,NA,Hungary,HUN,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,Bronze
121713,"Friedrich Adolf ""Fritz"" Traun",M,20,NA,NA,Germany,GER,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,NA
121713,"Friedrich Adolf ""Fritz"" Traun",M,20,NA,NA,Great Britain/Germany,GER,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,Gold
22925,Charlotte Reinagle Cooper (-Sterry),F,29,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Women's Singles,Gold
22925,Charlotte Reinagle Cooper (-Sterry),F,29,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Mixed Doubles,Gold
26110,Basil Spalding de Garmendia,M,40,NA,NA,United States,USA,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Singles,NA
26110,Basil Spalding de Garmendia,M,40,NA,NA,United States/France,USA,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Doubles,Silver
26246,Luc Henri Herv Guy Gardye de la Chapelle,M,31,NA,NA,France-1,FRA,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Doubles,Bronze
26338,lie Marie Gabriel Dor de Lastours,M,25,NA,NA,France-2,FRA,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Doubles,NA
26951,"Maxime Omer Mathieu ""Max"" Omer-Dcugis",M,17,NA,NA,United States/France,FRA,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Doubles,Silver
29107,"Hugh Lawrence ""Laurie"" Doherty",M,24,178,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Singles,Gold
29107,"Hugh Lawrence ""Laurie"" Doherty",M,24,178,NA,United States/Great Britain,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Mixed Doubles,Bronze
29107,"Hugh Lawrence ""Laurie"" Doherty",M,24,178,NA,Great Britain-1,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Doubles,Gold
29109,"Reginald Frank ""Reggie"" Doherty",M,27,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Singles,Bronze
29109,"Reginald Frank ""Reggie"" Doherty",M,27,NA,NA,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Mixed Doubles,Gold
